benchmark,run,result,removed instructions,percent removed
newton,liveness,217,0,0.0
newton,lvn_liveness,217,0,0.0
mod_inv,baseline,558,0,0.0
n_root,baseline,733,0,0.0
n_root,liveness,733,0,0.0
nonlocal,liveness,7,0,0.0
nonlocal,baseline,7,0,0.0
newton,lvn_pass,217,0,0.0
norm,baseline,505,0,0.0
norm,liveness,505,0,0.0
orders,baseline,5352,0,0.0
orders,liveness,5352,0,0.0
hanoi,liveness,99,0,0.0
idchain,lvn_pass,5,0,0.0
is-decreasing,baseline,127,0,0.0
lcm,baseline,2326,0,0.0
loopfact,baseline,116,0,0.0
gcd,baseline,46,0,0.0
gcd,liveness,46,0,0.0
fib,lvn_pass,121,0,0.0
fitsinside,baseline,10,0,0.0
primes-between,baseline,574100,0,0.0
pow,baseline,36,0,0.0
perfect,lvn_pass,232,0,0.0
perfect,lvn_liveness,232,0,0.0
perfect,baseline,232,0,0.0
perfect,liveness,232,0,0.0
pascals-row,baseline,146,0,0.0
palindrome,baseline,298,0,0.0
nonlocal,lvn_pass,7,0,0.0
ray-sphere-intersection,baseline,142,0,0.0
reassign,baseline,3,0,0.0
ray-sphere-intersection,liveness,142,0,0.0
quicksort-hoare,baseline,27333,0,0.0
primitive-root,baseline,11029,0,0.0
quadratic,baseline,785,0,0.0
pythagorean_triple,baseline,61518,0,0.0
rectangles-area-difference,baseline,14,0,0.0
recfact,baseline,104,0,0.0
reassign,lvn_pass,3,0,0.0
reassign,liveness,3,0,0.0
redundant,liveness,6,0,0.0
redundant,lvn_pass,6,0,0.0
redundant,baseline,6,0,0.0
rectangles-area-difference,liveness,14,0,0.0
redundant-dce,liveness,6,0,0.0
redundant-dce,baseline,6,0,0.0
relative-primes,baseline,1923,0,0.0
redundant-dce,lvn_pass,6,0,0.0
quickselect,liveness,279,0,0.0
quicksort,baseline,264,0,0.0
quicksort,liveness,264,0,0.0
quickselect,baseline,279,0,0.0
reverse,liveness,46,0,0.0
reverse,baseline,46,0,0.0
rename-fold,lvn_pass,7,0,0.0
rename-fold,baseline,7,0,0.0
riemann,lvn_pass,298,0,0.0
riemann,lvn_liveness,298,0,0.0
sieve,baseline,3482,0,0.0
riemann,baseline,298,0,0.0
simple,baseline,5,0,0.0
simple,lvn_pass,5,0,0.0
skipped,baseline,4,0,0.0
sqrt,baseline,322,0,0.0
sum-bits,baseline,73,0,0.0
sum-bits,liveness,73,0,0.0
sum-bits,lvn_liveness,73,0,0.0
riemann,liveness,298,0,0.0
sum-bits,lvn_pass,73,0,0.0
sum-check,baseline,5018,0,0.0
sum-check,lvn_liveness,5018,0,0.0
sum-check,liveness,5018,0,0.0
sum-check,lvn_pass,5018,0,0.0
sum-divisors,baseline,159,0,0.0
sum-divisors,liveness,159,0,0.0
sum-sq-diff,baseline,3038,0,0.0
totient,baseline,253,0,0.0
two-sum,baseline,98,0,0.0
up-arrow,baseline,252,0,0.0
up-arrow,liveness,252,0,0.0
up-arrow,lvn_liveness,252,0,0.0
up-arrow,lvn_pass,252,0,0.0
vsmul,baseline,86036,0,0.0
vsmul,liveness,86036,0,0.0
