benchmark,run,result,removed instructions,percent removed
ackermann,dead_store,1464231,0,0.0
adj2csr,dead_store,56629,0,0.0
adler32,dead_store,6851,0,0.0
armstrong,dead_store,133,0,0.0
binary-fmt,dead_store,100,0,0.0
binary-search,dead_store,78,0,0.0
birthday,dead_store,484,0,0.0
bitshift,dead_store,167,0,0.0
bitwise-ops,dead_store,1690,0,0.0
bubblesort,dead_store,253,0,0.0
catalan,dead_store,659378,0,0.0
check-primes,dead_store,8468,0,0.0
cholesky,dead_store,3761,0,0.0
collatz,dead_store,169,0,0.0
conjugate-gradient,dead_store,1999,0,0.0
cordic,dead_store,517,0,0.0
csrmv,dead_store,121202,0,0.0
dead-branch,dead_store,1196,0,0.0
digital-root,dead_store,247,0,0.0
dot-product,dead_store,88,0,0.0
eight-queens,dead_store,1006454,0,0.0
euclid,dead_store,563,0,0.0
fact,dead_store,229,0,0.0
factors,dead_store,72,0,0.0
fib,dead_store,121,0,0.0
fitsinside,dead_store,10,0,0.0
fizz-buzz,dead_store,3652,0,0.0
gcd,dead_store,46,0,0.0
hanoi,dead_store,99,0,0.0
lcm,dead_store,2326,0,0.0
loopfact,dead_store,116,0,0.0
major-elm,dead_store,47,0,0.0
mat-inv,dead_store,1044,0,0.0
mat-mul,dead_store,1990407,0,0.0
max-subarray,dead_store,193,0,0.0
mod_inv,dead_store,558,0,0.0
n_root,dead_store,733,0,0.0
newton,dead_store,217,0,0.0
norm,dead_store,505,0,0.0
orders,dead_store,5352,0,0.0
palindrome,dead_store,298,0,0.0
pascals-row,dead_store,146,0,0.0
perfect,dead_store,232,0,0.0
pow,dead_store,36,0,0.0
primes-between,dead_store,574100,0,0.0
primitive-root,dead_store,11029,0,0.0
pythagorean_triple,dead_store,61518,0,0.0
quadratic,dead_store,785,0,0.0
quickselect,dead_store,279,0,0.0
quicksort,dead_store,264,0,0.0
quicksort-hoare,dead_store,27333,0,0.0
ray-sphere-intersection,dead_store,142,0,0.0
rectangles-area-difference,dead_store,14,0,0.0
reverse,dead_store,46,0,0.0
riemann,dead_store,298,0,0.0
sieve,dead_store,3482,0,0.0
sqrt,dead_store,322,0,0.0
sum-bits,dead_store,73,0,0.0
sum-check,dead_store,5018,0,0.0
sum-divisors,dead_store,159,0,0.0
sum-sq-diff,dead_store,3038,0,0.0
totient,dead_store,253,0,0.0
up-arrow,dead_store,252,0,0.0
vsmul,dead_store,86036,0,0.0
